industry,ai,cloud,software,robotics,equipment
Agriculture/Forestry/Fishing/Hunting,8957,95006,114559,3485,51228
Utilities,7840,86860,94348,2871,47042
Mining/Quarrying/Oil&Gas Extraction,317,3205,4260,282,4320
Construction,1452,28868,33124,819,14069
Wholesale trade,10344,139363,154199,7415,105664
Manufacturing,1581,23315,23783,606,6465
Retail trade,8914,97742,109135,1684,12785
Transportation and warehousing,16814,202679,260019,11434,162532
Information,572,1651,2670,233,2397
Finance and insurance,4134,36157,36758,1601,14032
Real estate and rental and leasing,889,9365,10013,1673,5003
Professional/Scientific/Technical Services,6507,63526,90066,21022,85836
Management of companies and enterprises,290,3075,4176,280,2612
Administrative and support and waste management and remediation services,6138,70916,108436,4261,85976
Health care and social assistance,38339,364794,399029,15952,107022
Educational services,8613,97261,102300,1441,16780
Accommodation and food services,13302,132832,171470,10666,83124
Arts/Entertainment/Recreation,3827,37217,43958,1460,22451
Industries not classified,77,938,1133,48,745
Other services (except public administration),5775,79889,83477,7184,40518
